DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
20220316,0000,23.508,24.593,23.179,24.5,13 721 100
20220317,0000,24.147,24.839,23.938,24.769,9 872 740
20220318,0000,24.807,26.567,24.633,26.441,19 582 360
20220321,0000,26.494,27.149,25.97,26.744,10 606 410
20220322,0000,26.731,27.236,26.101,26.536,8 827 570
20220323,0000,26.12,26.607,25.584,25.625,8 807 320
20220324,0000,26.165,28.313,25.921,28.154,15 767 880
20220325,0000,27.911,28.358,27.278,27.704,11 526 840
20220328,0000,27.749,28.25,27.224,28.211,6 432 800
20220329,0000,28.6945,28.934,27.987,28.659,8 157 170
20220330,0000,28.304,28.487,27.505,27.676,8 422 690
20220331,0000,27.759,28.245,27.273,27.275,10 493 680
20220401,0000,27.386,27.48,26.269,26.713,10 636 440
20220404,0000,26.748,27.554,26.629,27.359,6 052 360
20220405,0000,27.254,27.313,25.825,25.933,8 292 540
20220406,0000,24.934,25.288,24.004,24.39,12 725 000
20220407,0000,24.4315,24.715,23.478,24.188,10 485 370
20220408,0000,23.917,23.918,23.069,23.114,9 966 670
20220411,0000,22.184,22.313,21.664,21.921,10 832 770
20220412,0000,22.525,22.72,21.283,21.496,10 908 670
20220413,0000,21.728,22.428,21.466,22.204,7 740 330
20220414,0000,22.505,22.768,21.166,21.248,10 636 220
20220418,0000,21.204,22.084,21.089,21.783,7 429 170
20220419,0000,21.755,22.367,21.3185,22.202,6 958 120
20220420,0000,22.521,22.6685,21.201,21.48,8 007 260
20220421,0000,21.721,22.39,20,20.17,12 942 380
20220422,0000,20.314,20.483,19.5,19.51,9 624 660
20220425,0000,19.2,19.944,19.096,19.919,10 504 790
20220426,0000,19.718,19.775,18.671,18.79,10 522 860
20220427,0000,18.549,19.163,18.295,18.403,6 582 510
20220428,0000,19,20.031,18.495,19.785,9 602 290
20220429,0000,19.402,20.128,18.52,18.549,8 058 280
20220502,0000,18.5405,19.568,18.393,19.536,8 411 550
20220503,0000,19.419,19.818,19.149,19.611,5 327 760
20220504,0000,19.923,20.396,18.755,20.341,13 577 170
20220505,0000,19.852,19.9215,18.502,18.89,9 972 890
20220506,0000,18.716,19.51,17.996,18.686,11 837 140
20220509,0000,18.034,18.247,16.833,16.983,8 919 640
20220510,0000,17.689,18.198,17.034,17.594,9 985 030
20220511,0000,17.346,17.753,16.572,16.634,11 984 310
20220512,0000,16.219,16.788,15.568,16.179,14 472 080
20220513,0000,16.807,17.922,16.6,17.707,14 326 280
20220516,0000,17.509,17.784,17.115,17.261,7 189 780
20220517,0000,18.079,18.367,17.638,18.182,9 720 110
20220518,0000,17.705,18.114,16.869,16.94,9 624 190
20220519,0000,16.919,17.685,16.735,17.109,9 448 020
20220520,0000,17.372,17.4,15.759,16.702,14 278 230
20220523,0000,16.274,16.914,16.19,16.903,7 727 570
20220524,0000,16.51,16.588,15.784,16.168,8 825 230
20220525,0000,16.019,17.107,16,16.99,11 080 860
20220526,0000,16.0305,18.085,16.023,17.851,16 118 430
20220527,0000,18.1935,18.879,18.1,18.835,11 895 110
20220531,0000,18.98,19.174,18.354,18.647,8 981 040
20220601,0000,18.738,19.05,18.122,18.302,8 498 280
20220602,0000,18.287,19.617,18.208,19.599,9 890 950
20220603,0000,19.075,19.317,18.523,18.724,9 841 460
20220606,0000,19.139,19.334,18.57,18.794,5 797 980
20220607,0000,18.459,19,18.205,18.924,4 900 040
20220608,0000,18.799,19.171,18.537,18.648,5 700 760
20220609,0000,18.482,18.933,18.042,18.053,6 269 850
20220610,0000,17.577,17.692,16.869,16.977,10 147 330
20220613,0000,15.998,16.312,15.612,15.645,11 368 640
20220614,0000,15.731,16.065,15.415,15.841,7 635 990
20220615,0000,16.1,16.864,15.928,16.526,13 450 580
20220616,0000,15.847,15.934,15.401,15.602,10 310 990
20220617,0000,15.648,15.99,15.333,15.879,11 989 980
20220621,0000,16.4745,17.005,16.412,16.551,10 841 540
20220622,0000,16.256,16.661,16.185,16.366,12 364 770
20220623,0000,16.513,16.577,15.856,16.224,9 986 230
20220624,0000,16.499,17.139,16.313,17.128,10 953 000
20220627,0000,17.305,17.33,16.636,16.864,6 405 960
20220628,0000,16.91,17.2,15.946,15.981,7 020 810
20220629,0000,15.805,15.806,15.172,15.546,8 394 980
20220630,0000,15.361,15.564,14.872,15.16,13 112 470
20220701,0000,14.9,15.0595,14.395,14.517,11 938 510
20220705,0000,14.169,14.967,14.055,14.967,11 205 140
20220706,0000,15.024,15.318,14.799,15.13,9 085 600
20220707,0000,15.476,15.943,15.395,15.865,10 591 900
20220708,0000,15.432,16.035,15.394,15.834,8 408 710
20220711,0000,15.524,15.524,15.042,15.149,7 418 240
20220712,0000,15.268,15.423,14.881,15.082,8 994 380
20220713,0000,14.591,15.374,14.467,15.168,11 359 070
20220714,0000,15.09,15.47,14.733,15.372,9 962 520
20220715,0000,15.635,15.78,15.4475,15.759,9 784 230
20220718,0000,16.304,16.896,16.004,16.101,14 000 870
20220719,0000,16.494,17.109,16.175,16.991,15 892 430
20220720,0000,16.947,17.932,16.802,17.811,16 216 750
20220721,0000,17.877,18.144,17.547,18.05,12 518 520
20220722,0000,17.883,17.949,17.137,17.319,11 954 030
